timestamp, cp, minsplit, minbucket, maxdepth, ganancia_promedio
2022-05-14 19:02:20, -0.1, 200, 100, 6, 9374000
2022-05-14 19:02:37, -0.1, 200, 100, 9, 8792000
2022-05-14 19:02:57, -0.1, 200, 100, 12, 7606666.66666667
2022-05-14 19:03:19, -0.1, 200, 100, 15, 7063333.33333333
2022-05-14 19:03:32, -0.1, 200, 50, 6, 9595333.33333333
2022-05-14 19:03:49, -0.1, 200, 50, 9, 8289333.33333333
2022-05-14 19:04:10, -0.1, 200, 50, 12, 6422000
2022-05-14 19:04:32, -0.1, 200, 50, 15, 5814666.66666667
2022-05-14 19:04:46, -0.1, 200, 10, 6, 9680666.66666667
2022-05-14 19:05:04, -0.1, 200, 10, 9, 8642000
2022-05-14 19:05:25, -0.1, 200, 10, 12, 7200666.66666667
2022-05-14 19:05:49, -0.1, 200, 10, 15, 6719333.33333333
2022-05-14 19:06:02, -0.1, 100, 50, 6, 9696666.66666667
2022-05-14 19:06:19, -0.1, 100, 50, 9, 7550000
2022-05-14 19:06:40, -0.1, 100, 50, 12, 5021333.33333333
2022-05-14 19:07:02, -0.1, 100, 50, 15, 3842000
2022-05-14 19:07:16, -0.1, 100, 10, 6, 9791333.33333333
2022-05-14 19:07:34, -0.1, 100, 10, 9, 8752000
2022-05-14 19:07:54, -0.1, 100, 10, 12, 7293333.33333333
2022-05-14 19:08:18, -0.1, 100, 10, 15, 5944666.66666667
2022-05-14 19:08:32, -0.1, 50, 10, 6, 9814666.66666667
2022-05-14 19:08:59, -0.1, 50, 10, 9, 8776000
2022-05-14 19:09:28, -0.1, 50, 10, 12, 7455333.33333333
2022-05-14 19:10:03, -0.1, 50, 10, 15, 5480666.66666667
2022-05-14 19:10:19, -0.3, 200, 100, 6, 9374000
2022-05-14 19:10:40, -0.3, 200, 100, 9, 8792000
2022-05-14 19:11:02, -0.3, 200, 100, 12, 7606666.66666667
2022-05-14 19:11:26, -0.3, 200, 100, 15, 7063333.33333333
2022-05-14 19:11:42, -0.3, 200, 50, 6, 9595333.33333333
2022-05-14 19:12:02, -0.3, 200, 50, 9, 8289333.33333333
2022-05-14 19:12:24, -0.3, 200, 50, 12, 6422000
2022-05-14 19:12:49, -0.3, 200, 50, 15, 5814666.66666667
2022-05-14 19:13:06, -0.3, 200, 10, 6, 9680666.66666667
2022-05-14 19:13:25, -0.3, 200, 10, 9, 8642000
2022-05-14 19:13:47, -0.3, 200, 10, 12, 7200666.66666667
2022-05-14 19:14:12, -0.3, 200, 10, 15, 6719333.33333333
2022-05-14 19:14:26, -0.3, 100, 50, 6, 9696666.66666667
2022-05-14 19:14:46, -0.3, 100, 50, 9, 7550000
2022-05-14 19:15:10, -0.3, 100, 50, 12, 5021333.33333333
2022-05-14 19:15:34, -0.3, 100, 50, 15, 3842000
2022-05-14 19:15:50, -0.3, 100, 10, 6, 9791333.33333333
2022-05-14 19:16:08, -0.3, 100, 10, 9, 8752000
2022-05-14 19:16:29, -0.3, 100, 10, 12, 7293333.33333333
2022-05-14 19:16:53, -0.3, 100, 10, 15, 5944666.66666667
2022-05-14 19:17:08, -0.3, 50, 10, 6, 9814666.66666667
2022-05-14 19:17:27, -0.3, 50, 10, 9, 8776000
2022-05-14 19:17:52, -0.3, 50, 10, 12, 7455333.33333333
2022-05-14 19:18:20, -0.3, 50, 10, 15, 5480666.66666667
timestamp, cp, minsplit, minbucket, maxdepth, ganancia_promedio
2022-05-14 19:45:32, -0.1, 1000, 200, 3, 9321333.33333333
2022-05-14 19:45:41, -0.1, 1000, 200, 5, 10188000
2022-05-14 19:45:52, -0.1, 1000, 200, 7, 9534000
2022-05-14 19:46:05, -0.1, 1000, 200, 9, 9676666.66666667
2022-05-14 19:46:18, -0.1, 1000, 200, 11, 9566000
2022-05-14 19:46:33, -0.1, 1000, 200, 13, 9566000
2022-05-14 19:46:39, -0.1, 1000, 100, 3, 9323333.33333333
2022-05-14 19:46:47, -0.1, 1000, 100, 5, 10296666.6666667
2022-05-14 19:46:58, -0.1, 1000, 100, 7, 9664666.66666667
2022-05-14 19:47:11, -0.1, 1000, 100, 9, 9482000
2022-05-14 19:47:25, -0.1, 1000, 100, 11, 9227333.33333333
2022-05-14 19:47:43, -0.1, 1000, 100, 13, 9165333.33333333
2022-05-14 19:47:51, -0.1, 1000, 50, 3, 9323333.33333333
2022-05-14 19:48:03, -0.1, 1000, 50, 5, 9921333.33333333
2022-05-14 19:48:18, -0.1, 1000, 50, 7, 9507333.33333333
2022-05-14 19:48:34, -0.1, 1000, 50, 9, 8825333.33333333
2022-05-14 19:48:49, -0.1, 1000, 50, 11, 8560000
2022-05-14 19:49:05, -0.1, 1000, 50, 13, 8446666.66666667
2022-05-14 19:49:11, -0.1, 1000, 10, 3, 9196666.66666667
2022-05-14 19:49:19, -0.1, 1000, 10, 5, 9585333.33333333
2022-05-14 19:49:29, -0.1, 1000, 10, 7, 9491333.33333333
2022-05-14 19:49:43, -0.1, 1000, 10, 9, 8879333.33333333
2022-05-14 19:49:59, -0.1, 1000, 10, 11, 8509333.33333333
2022-05-14 19:50:16, -0.1, 1000, 10, 13, 8420000
2022-05-14 19:50:22, -0.1, 500, 200, 3, 9321333.33333333
2022-05-14 19:50:32, -0.1, 500, 200, 5, 9928666.66666667
2022-05-14 19:50:44, -0.1, 500, 200, 7, 9148666.66666667
2022-05-14 19:50:58, -0.1, 500, 200, 9, 9079333.33333333
2022-05-14 19:51:13, -0.1, 500, 200, 11, 8560666.66666667
2022-05-14 19:51:28, -0.1, 500, 200, 13, 8560666.66666667
2022-05-14 19:51:35, -0.1, 500, 100, 3, 9323333.33333333
2022-05-14 19:51:43, -0.1, 500, 100, 5, 10004666.6666667
2022-05-14 19:51:54, -0.1, 500, 100, 7, 9390000
2022-05-14 19:52:07, -0.1, 500, 100, 9, 8490000
2022-05-14 19:52:22, -0.1, 500, 100, 11, 7960000
2022-05-14 19:52:39, -0.1, 500, 100, 13, 7703333.33333333
2022-05-14 19:52:45, -0.1, 500, 50, 3, 9323333.33333333
2022-05-14 19:52:53, -0.1, 500, 50, 5, 9739333.33333333
2022-05-14 19:53:04, -0.1, 500, 50, 7, 9242666.66666667
2022-05-14 19:53:18, -0.1, 500, 50, 9, 8189333.33333333
2022-05-14 19:53:33, -0.1, 500, 50, 11, 7662000
2022-05-14 19:53:50, -0.1, 500, 50, 13, 7372666.66666667
2022-05-14 19:53:56, -0.1, 500, 10, 3, 9196666.66666667
2022-05-14 19:54:04, -0.1, 500, 10, 5, 9478000
2022-05-14 19:54:15, -0.1, 500, 10, 7, 9480000
2022-05-14 19:54:28, -0.1, 500, 10, 9, 8670000
2022-05-14 19:54:44, -0.1, 500, 10, 11, 8301333.33333333
2022-05-14 19:55:01, -0.1, 500, 10, 13, 7874666.66666667
2022-05-14 19:55:08, -0.1, 200, 100, 3, 9323333.33333333
2022-05-14 19:55:17, -0.1, 200, 100, 5, 10126666.6666667
2022-05-14 19:55:28, -0.1, 200, 100, 7, 9444666.66666667
2022-05-14 19:55:42, -0.1, 200, 100, 9, 8792000
2022-05-14 19:55:58, -0.1, 200, 100, 11, 8070000
2022-05-14 19:56:13, -0.1, 200, 100, 13, 7398000
2022-05-14 19:56:19, -0.1, 200, 50, 3, 9323333.33333333
2022-05-14 19:56:27, -0.1, 200, 50, 5, 9768666.66666667
2022-05-14 19:56:37, -0.1, 200, 50, 7, 9278666.66666667
2022-05-14 19:56:50, -0.1, 200, 50, 9, 8289333.33333333
2022-05-14 19:57:04, -0.1, 200, 50, 11, 7104000
2022-05-14 19:57:21, -0.1, 200, 50, 13, 5941333.33333333
2022-05-14 19:57:26, -0.1, 200, 10, 3, 9196666.66666667
2022-05-14 19:57:34, -0.1, 200, 10, 5, 9478000
2022-05-14 19:57:44, -0.1, 200, 10, 7, 9414000
2022-05-14 19:57:57, -0.1, 200, 10, 9, 8642000
2022-05-14 19:58:12, -0.1, 200, 10, 11, 7339333.33333333
2022-05-14 19:58:29, -0.1, 200, 10, 13, 7244000
2022-05-14 19:58:34, -0.1, 100, 50, 3, 9323333.33333333
2022-05-14 19:58:42, -0.1, 100, 50, 5, 9868666.66666667
2022-05-14 19:58:53, -0.1, 100, 50, 7, 9213333.33333333
2022-05-14 19:59:05, -0.1, 100, 50, 9, 7550000
2022-05-14 19:59:20, -0.1, 100, 50, 11, 5932000
2022-05-14 19:59:37, -0.1, 100, 50, 13, 4363333.33333333
2022-05-14 19:59:43, -0.1, 100, 10, 3, 9196666.66666667
2022-05-14 19:59:51, -0.1, 100, 10, 5, 9530666.66666667
2022-05-14 20:00:01, -0.1, 100, 10, 7, 9564666.66666667
2022-05-14 20:00:14, -0.1, 100, 10, 9, 8752000
2022-05-14 20:00:29, -0.1, 100, 10, 11, 7482000
2022-05-14 20:00:46, -0.1, 100, 10, 13, 7012666.66666667
2022-05-14 20:00:52, -0.1, 50, 10, 3, 9196666.66666667
2022-05-14 20:01:00, -0.1, 50, 10, 5, 9545333.33333333
2022-05-14 20:01:10, -0.1, 50, 10, 7, 9636666.66666667
2022-05-14 20:01:23, -0.1, 50, 10, 9, 8776000
2022-05-14 20:01:37, -0.1, 50, 10, 11, 7581333.33333333
2022-05-14 20:01:54, -0.1, 50, 10, 13, 7052666.66666667
2022-05-14 20:02:00, -0.2, 1000, 200, 3, 9321333.33333333
2022-05-14 20:02:08, -0.2, 1000, 200, 5, 10188000
2022-05-14 20:02:18, -0.2, 1000, 200, 7, 9534000
2022-05-14 20:02:30, -0.2, 1000, 200, 9, 9676666.66666667
2022-05-14 20:02:44, -0.2, 1000, 200, 11, 9566000
2022-05-14 20:02:58, -0.2, 1000, 200, 13, 9566000
2022-05-14 20:03:04, -0.2, 1000, 100, 3, 9323333.33333333
2022-05-14 20:03:12, -0.2, 1000, 100, 5, 10296666.6666667
2022-05-14 20:03:22, -0.2, 1000, 100, 7, 9664666.66666667
2022-05-14 20:03:35, -0.2, 1000, 100, 9, 9482000
2022-05-14 20:03:49, -0.2, 1000, 100, 11, 9227333.33333333
2022-05-14 20:04:04, -0.2, 1000, 100, 13, 9165333.33333333
2022-05-14 20:04:09, -0.2, 1000, 50, 3, 9323333.33333333
2022-05-14 20:04:17, -0.2, 1000, 50, 5, 9921333.33333333
2022-05-14 20:04:27, -0.2, 1000, 50, 7, 9507333.33333333
2022-05-14 20:04:40, -0.2, 1000, 50, 9, 8825333.33333333
2022-05-14 20:04:54, -0.2, 1000, 50, 11, 8560000
2022-05-14 20:05:10, -0.2, 1000, 50, 13, 8446666.66666667
2022-05-14 20:05:16, -0.2, 1000, 10, 3, 9196666.66666667
2022-05-14 20:05:24, -0.2, 1000, 10, 5, 9585333.33333333
2022-05-14 20:05:34, -0.2, 1000, 10, 7, 9491333.33333333
2022-05-14 20:05:47, -0.2, 1000, 10, 9, 8879333.33333333
2022-05-14 20:06:01, -0.2, 1000, 10, 11, 8509333.33333333
2022-05-14 20:06:18, -0.2, 1000, 10, 13, 8420000
2022-05-14 20:06:23, -0.2, 500, 200, 3, 9321333.33333333
2022-05-14 20:06:31, -0.2, 500, 200, 5, 9928666.66666667
2022-05-14 20:06:42, -0.2, 500, 200, 7, 9148666.66666667
2022-05-14 20:06:54, -0.2, 500, 200, 9, 9079333.33333333
2022-05-14 20:07:08, -0.2, 500, 200, 11, 8560666.66666667
2022-05-14 20:07:23, -0.2, 500, 200, 13, 8560666.66666667
2022-05-14 20:07:28, -0.2, 500, 100, 3, 9323333.33333333
2022-05-14 20:07:36, -0.2, 500, 100, 5, 10004666.6666667
2022-05-14 20:07:47, -0.2, 500, 100, 7, 9390000
2022-05-14 20:08:01, -0.2, 500, 100, 9, 8490000
2022-05-14 20:08:21, -0.2, 500, 100, 11, 7960000
2022-05-14 20:08:41, -0.2, 500, 100, 13, 7703333.33333333
2022-05-14 20:08:49, -0.2, 500, 50, 3, 9323333.33333333
2022-05-14 20:08:59, -0.2, 500, 50, 5, 9739333.33333333
2022-05-14 20:09:11, -0.2, 500, 50, 7, 9242666.66666667
2022-05-14 20:09:25, -0.2, 500, 50, 9, 8189333.33333333
2022-05-14 20:09:40, -0.2, 500, 50, 11, 7662000
2022-05-14 20:09:57, -0.2, 500, 50, 13, 7372666.66666667
2022-05-14 20:10:03, -0.2, 500, 10, 3, 9196666.66666667
2022-05-14 20:10:12, -0.2, 500, 10, 5, 9478000
2022-05-14 20:10:23, -0.2, 500, 10, 7, 9480000
